,title,link,pre_text,firm,id,date
26,2억이하 전세 지역 추천부탁해,https://www.teamblind.com/kr/post/2%EC%96%B5%EC%9D%B4%ED%95%98-%EC%A0%84%EC%84%B8-%EC%A7%80%EC%97%AD-%EC%B6%94%EC%B2%9C%EB%B6%80%ED%83%81%ED%95%B4-ldbgkxbh,출퇴근 여의도 서울/인접한 경기 까지.. 2억으로 가능하면 관리비 많이 안나오는 빌라 등.. 원룸보단 1.5룸 or 2룸... 있을까..?,OK저축은행 , 0******,2025-07-02
27,곰탕집 사건: 남자가 움켜쥐었다 vs 판사가 스윗했다,https://www.teamblind.com/kr/post/%EA%B3%B0%ED%83%95%EC%A7%91-%EC%82%AC%EA%B1%B4-%EB%82%A8%EC%9E%90%EA%B0%80-%EC%9B%80%EC%BC%9C%EC%A5%90%EC%97%88%EB%8B%A4-vs-%ED%8C%90%EC%82%AC%EA%B0%80-%EC%8A%A4%EC%9C%97%ED%96%88%EB%8B%A4-5dc4nl0a,!,공무원 , !*********,2025-07-02
28,마포 성동이 급격한 상승하게 된 이유는,https://www.teamblind.com/kr/post/%EB%A7%88%ED%8F%AC-%EC%84%B1%EB%8F%99%EC%9D%B4-%EA%B8%89%EA%B2%A9%ED%95%9C-%EC%83%81%EC%8A%B9%ED%95%98%EA%B2%8C-%EB%90%9C-%EC%9D%B4%EC%9C%A0%EB%8A%94-4ris8eqn,문재인 15억 규제 때지 15억 언더 구축 준신축들까진 살수있었으니까 이제 6억규제로 10억대 초반이 밀려올라갈듯 매도 매수자들 관망하다 움직이기 시작하면 서대문 광진 동대문 영등포나 길음은평뉴타운 위례 10초반은 쏠지도...,새회사 , 꿀****,2025-07-02
29,동기 아파트 가격이 강남구 10위안에 드네,https://www.teamblind.com/kr/post/%EB%8F%99%EA%B8%B0-%EC%95%84%ED%8C%8C%ED%8A%B8-%EA%B0%80%EA%B2%A9%EC%9D%B4-%EA%B0%95%EB%82%A8%EA%B5%AC-10%EC%9C%84%EC%95%88%EC%97%90-%EB%93%9C%EB%84%A4-t44mjfe3,술먹다 아실로 검색해보니 동일평형 기준으로 강남구 10위 안에 드는곳 사네 지방출신이라 대학생부터 결혼할때도 지원 하나도 안받았다는데 무슨돈으로 산걸까,기아 , s*****,2025-07-02
30,파주 동탄 부부 어디에 사는게 좋을까요?,https://www.teamblind.com/kr/post/%ED%8C%8C%EC%A3%BC-%EB%8F%99%ED%83%84-%EB%B6%80%EB%B6%80-%EC%96%B4%EB%94%94%EC%97%90-%EC%82%AC%EB%8A%94%EA%B2%8C-%EC%A2%8B%EC%9D%84%EA%B9%8C%EC%9A%94-2ybvwv5a,"결혼을 앞둔 예비 신혼부부입니다. 파주 동탄이 직장인데 어디에 신혼집을 마련하는게 좋을지 고민입니다. 아내 : 파주(LG디스플레이) 남편 : 동탄(삼성전자DS) 예산은 넉넉하다는 가정하에 어디가 좋을까요? 부동산 고수님들, 결혼 선배님들의 고견 부탁드립니다",삼성전자 , 시******,2025-07-02
31,근데 분양물건 전세주면서 잔금치르는거,https://www.teamblind.com/kr/post/%EA%B7%BC%EB%8D%B0-%EB%B6%84%EC%96%91%EB%AC%BC%EA%B1%B4-%EC%A0%84%EC%84%B8%EC%A3%BC%EB%A9%B4%EC%84%9C-%EC%9E%94%EA%B8%88%EC%B9%98%EB%A5%B4%EB%8A%94%EA%B1%B0-d2d8e4qj,소유권이전조건부 전세대출 막혀서 잔금치른다음 전세맞춰야되잖아 이거 잔금대출받아서 잔금치른다음 전세금 받은걸로 잔금대출 상환하는 플랜 가능함? 잔금대출받으면 6개월이내에 전입해야해서 안되나? 아님 전세금받아서 잔금대출 상환할거니까 전입의무는 상관없나? 찾아봐도 잘 안나오네,세무사 , 5**,2025-07-02
32,지금 똘똘이 아니면 안사는 분위기였는데,https://www.teamblind.com/kr/post/%EC%A7%80%EA%B8%88-%EB%98%98%EB%98%98%EC%9D%B4-%EC%95%84%EB%8B%88%EB%A9%B4-%EC%95%88%EC%82%AC%EB%8A%94-%EB%B6%84%EC%9C%84%EA%B8%B0%EC%98%80%EB%8A%94%EB%8D%B0-u4kdpoa4,똘똘이 못사게 한다고 못난이를 사겠냐? 돈모았다가 규제 풀리면 똘똘이를 바로 겟 해야지,에스엘 , i*********,2025-07-02
33,과연 상급지 패닉셀이 나올까?,https://www.teamblind.com/kr/post/%EA%B3%BC%EC%97%B0-%EC%83%81%EA%B8%89%EC%A7%80-%ED%8C%A8%EB%8B%89%EC%85%80%EC%9D%B4-%EB%82%98%EC%98%AC%EA%B9%8C-5y5cdowm,집값이 하락하려면 대출 규제로 매수세가 끊기는 것만으론 부족하고 집주인들이 손해 감수하고 던지거나 아예 경매로 넘어가야 되잖아? 이 정도까지 오려면 은행이나 세입자한테 빌린 돈 못 돌려주게 되는 사람들이 많아져야 함. 근데 원리금 압박 받는 사람들은 이미 22~23년 금리 인상기에 다 털림. 금리가 인하되고 있고 추가 인하 여력도 있는 지금은 원리금 부담이 점점 줄어들고 있음. 금리 인상기에 버틴 사람들이 던지기가 어려움. 전세금 못 돌려주는 사람들도 얼마나 많을지 의문임. 일단 토허제 구역은 원래 세 끼고 매매가 금지임.,스타트업 , r*****,2025-07-02
34,"도봉구 창동 vs 용인시 수지
투표",https://www.teamblind.com/kr/post/%EB%8F%84%EB%B4%89%EA%B5%AC-%EC%B0%BD%EB%8F%99-vs-%EC%9A%A9%EC%9D%B8%EC%8B%9C-%EC%88%98%EC%A7%80-iv6ksla2,Gtx 완공 가정 대중교통 소요시간만 고려시 창동 삼성역 12분 양재역 15분 성남역(판교) 25분 (환승 5분 산정) 서울역 11분 여의도역 16분 VS 수지 강남역 24분 양재역 22분 판교역 11분 서울역 1시간 여의도역 50분,NH농협은행 , l*********,2025-07-02
35,부게 분위기도 많이 바뀌었네 ㅋㅋㅋㅌ,https://www.teamblind.com/kr/post/%EB%B6%80%EA%B2%8C-%EB%B6%84%EC%9C%84%EA%B8%B0%EB%8F%84-%EB%A7%8E%EC%9D%B4-%EB%B0%94%EB%80%8C%EC%97%88%EB%84%A4-%E3%85%8B%E3%85%8B%E3%85%8B%E3%85%8C-o60xr0cv,예전엔 영끌이나 갭투 걱정해주면 우르르 몰려와서 난리치더니 정책 조이고 시장 심상치 않으니까 똥줄타는지 조용하네 https://naver.me/5ZSYWoAu https://naver.me/F8umpShr 영끌러 vs 정부 가보자 !,공무원 , i******,2025-07-02
